L,eta_0,exc_abs,Gamma_from_dgamma
3.0,0.1,0.003332816999860811,0.00737083637806412
3.0,0.2,0.013333081529920271,0.01521045592977853
3.0,0.3,0.02999982029928528,0.031512032818592
3.0,0.4,0.05333316897749636,0.054429854278052664
3.0,0.5,0.0833331675890359,0.08388932018813201
3.0,0.6,0.1199998243098022,0.11979057735970171
3.0,0.7,0.16333313907680697,0.16191129522767256
3.0,0.8,0.21333310326673585,0.20953593385491392
3.0,0.9,0.26999968002016006,0.244542052581802
10.0,0.1,0.004499004065921451,0.009984162369270442
10.0,0.2,0.017999516445566695,0.020438021918363213
10.0,0.3,0.04049966135669858,0.04235900774813879
10.0,0.4,0.07199970221630023,0.07317467491538113
10.0,0.5,0.1124997066354704,0.11275889669287217
10.0,0.6,0.16199969522298585,0.16092995381105235
10.0,0.7,0.22049967173407162,0.21729013937234154
10.0,0.8,0.287999627836491,0.2806582823971264
10.0,0.9,0.3642998682674767,0.3316382190698887
