L,eta_0,rho
3,0.1,"[0.         0.         0.         0.03571368 0.03443861 0.0332091
 0.03329833 0.03333897 0.03333438 0.0333331  0.0333333  0.03333334
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333 0.03333333
 0.03333333 0.03333333 0.03333333 0.03333333 0.03333334 0.0333333
 0.0333331  0.03333438 0.03333897 0.03329833 0.0332091  0.03443861
 0.03571368 0.         0.         0.        ]"
3,0.2,"[0.         0.         0.         0.07692258 0.07100589 0.06554439
 0.06641917 0.06677186 0.06667765 0.06665777 0.06666649 0.06666736
 0.06666663 0.06666662 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666662 0.06666663 0.06666736 0.06666649
 0.06665777 0.06667765 0.06677186 0.06641917 0.06554439 0.07100589
 0.07692258 0.         0.         0.        ]"
3,0.3,"[0.         0.         0.         0.1249996  0.10937502 0.09570362
 0.09936503 0.10061616 0.1000025  0.09992275 0.10000926 0.10000848
 0.09999781 0.09999921 0.10000036 0.10000005 0.09999995 0.1
 0.10000001 0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.10000001 0.1        0.09999995
 0.10000005 0.10000036 0.09999921 0.09999781 0.10000848 0.10000926
 0.09992275 0.1000025  0.10061616 0.09936503 0.09570362 0.10937502
 0.1249996  0.         0.         0.        ]"
3,0.4,"[0.         0.         0.         0.18181783 0.14876038 0.12171344
 0.13264093 0.13557167 0.13305251 0.1329775  0.13344891 0.13337703
 0.13330446 0.13333061 0.13333905 0.13333281 0.13333239 0.13333359
 0.13333346 0.13333327 0.13333332 0.13333335 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333 0.13333333
 0.13333335 0.13333332 0.13333327 0.13333346 0.13333359 0.13333239
 0.13333281 0.13333905 0.13333061 0.13330446 0.13337703 0.13344891
 0.1329775  0.13305251 0.13557167 0.13264093 0.12171344 0.14876038
 0.18181783 0.         0.         0.        ]"
3,0.5,"[0.         0.         0.         0.24999967 0.18750009 0.14062537
 0.16796843 0.17285132 0.16479537 0.16558836 0.16740381 0.16675205
 0.16646117 0.16669658 0.16671053 0.1666483  0.16666028 0.16667282
 0.16666674 0.16666512 0.16666702 0.16666696 0.16666651 0.16666663
 0.16666671 0.16666666 0.16666666 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666666 0.16666666 0.16666671 0.16666663 0.16666651
 0.16666696 0.16666702 0.16666512 0.16666674 0.16667282 0.16666028
 0.1666483  0.16671053 0.16669658 0.16646117 0.16675205 0.16740381
 0.16558836 0.16479537 0.17285132 0.16796843 0.14062537 0.18750009
 0.24999967 0.         0.         0.        ]"
3,0.6,"[0.         0.         0.         0.33333301 0.22222235 0.14814844
 0.2098762  0.21399161 0.19204437 0.19798798 0.20332228 0.19956342
 0.19903823 0.20046591 0.2001653  0.19978974 0.2000149  0.20006506
 0.19997343 0.19998717 0.20001309 0.19999994 0.19999568 0.20000144
 0.20000096 0.19999921 0.19999994 0.20000028 0.19999993 0.19999993
 0.20000004 0.20000001 0.19999998 0.2        0.2        0.2
 0.2        0.2        0.2        0.2        0.2        0.2
 0.2        0.2        0.2        0.2        0.2        0.2
 0.2        0.2        0.2        0.2        0.2        0.2
 0.2        0.2        0.2        0.2        0.2        0.2
 0.2        0.2        0.2        0.2        0.2        0.2
 0.2        0.19999998 0.20000001 0.20000004 0.19999993 0.19999993
 0.20000028 0.19999994 0.19999921 0.20000096 0.20000144 0.19999568
 0.19999994 0.20001309 0.19998717 0.19997343 0.20006506 0.2000149
 0.19978974 0.2001653  0.20046591 0.19903823 0.19956342 0.20332228
 0.19798798 0.19204437 0.21399161 0.2098762  0.14814844 0.22222235
 0.33333301 0.         0.         0.        ]"
3,0.7,"[0.         0.         0.         0.43749969 0.24609391 0.13842794
 0.26927148 0.25913139 0.20632399 0.23386318 0.24491788 0.22803351
 0.23058382 0.23685466 0.23299578 0.23194058 0.23409015 0.23361155
 0.23288067 0.23340956 0.23349796 0.23322807 0.23330735 0.23339068
 0.23331967 0.23331425 0.23334761 0.23333545 0.23332619 0.23333551
 0.2333355  0.23333145 0.2333332  0.23333421 0.23333302 0.23333309
 0.23333357 0.23333334 0.23333323 0.23333338 0.23333336 0.2333333
 0.23333333 0.23333335 0.23333333 0.23333333 0.23333334 0.23333333
 0.23333333 0.23333333 0.23333333 0.23333333 0.23333333 0.23333334
 0.23333333 0.23333333 0.23333335 0.23333333 0.2333333  0.23333336
 0.23333338 0.23333323 0.23333334 0.23333357 0.23333309 0.23333302
 0.23333421 0.2333332  0.23333145 0.2333355  0.23333551 0.23332619
 0.23333545 0.23334761 0.23331425 0.23331967 0.23339068 0.23330735
 0.23322807 0.23349796 0.23340956 0.23288067 0.23361155 0.23409015
 0.23194058 0.23299578 0.23685466 0.23058382 0.22803351 0.24491788
 0.23386318 0.20632399 0.25913139 0.26927148 0.13842794 0.24609391
 0.43749969 0.         0.         0.        ]"
3,0.8,"[0.         0.         0.         0.57142828 0.24489815 0.10495639
 0.37151148 0.29916118 0.18818721 0.29294365 0.29649652 0.23460582
 0.26794147 0.28425848 0.25588592 0.26277467 0.27505086 0.26409982
 0.26334259 0.2700327  0.26664273 0.26475706 0.2677714  0.26712656
 0.26577275 0.26691459 0.26703572 0.26631423 0.26665714 0.26687341
 0.26655406 0.2666129  0.26676166 0.26664315 0.26662586 0.26670337
 0.26666902 0.26664438 0.26667804 0.2666729  0.26665662 0.26666886
 0.26667116 0.2666628  0.26666634 0.26666914 0.26666531 0.26666601
 0.26666808 0.266666   0.266666   0.26666808 0.26666601 0.26666531
 0.26666914 0.26666634 0.2666628  0.26667116 0.26666886 0.26665662
 0.2666729  0.26667804 0.26664438 0.26666902 0.26670337 0.26662586
 0.26664315 0.26676166 0.2666129  0.26655406 0.26687341 0.26665714
 0.26631423 0.26703572 0.26691459 0.26577275 0.26712656 0.2677714
 0.26475706 0.26664273 0.2700327  0.26334259 0.26409982 0.27505086
 0.26277467 0.25588592 0.28425848 0.26794147 0.23460582 0.29649652
 0.29294365 0.18818721 0.29916118 0.37151148 0.10495639 0.24489815
 0.57142828 0.         0.         0.        ]"
3,0.9,"[0.         0.         0.         0.75000038 0.18749957 0.04687505
 0.57421963 0.28417868 0.10620124 0.45721591 0.3274367  0.16151035
 0.38329087 0.34139862 0.2064823  0.33909087 0.34081986 0.24006564
 0.31433792 0.33419766 0.26359576 0.30165747 0.32606163 0.27920622
 0.29605196 0.31856016 0.28903377 0.29430713 0.31250194 0.29488256
 0.29446262 0.30800492 0.29813464 0.2953922  0.30487819 0.29977854
 0.29649562 0.30283163 0.30048361 0.29748544 0.30157974 0.30068267
 0.29824685 0.30088425 0.30064606 0.29874991 0.30056329 0.300542
 0.29899761 0.30048328 0.30048328 0.29899761 0.300542   0.30056329
 0.29874991 0.30064606 0.30088425 0.29824685 0.30068267 0.30157974
 0.29748544 0.30048361 0.30283163 0.29649562 0.29977854 0.30487819
 0.2953922  0.29813464 0.30800492 0.29446262 0.29488256 0.31250194
 0.29430713 0.28903377 0.31856016 0.29605196 0.27920622 0.32606163
 0.30165747 0.26359576 0.33419766 0.31433792 0.24006564 0.34081986
 0.33909087 0.2064823  0.34139862 0.38329087 0.16151035 0.3274367
 0.45721591 0.10620124 0.28417868 0.57421963 0.04687505 0.18749957
 0.75000038 0.         0.         0.        ]"
10,0.1,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01098862 0.01086792
 0.01074855 0.01063049 0.01051373 0.01039826 0.01028405 0.0101711
 0.0100594  0.00994892 0.0099603  0.00997024 0.00997876 0.0099859
 0.00999168 0.00999614 0.0099993  0.01000118 0.01000182 0.01000125
 0.0100008  0.01000047 0.01000024 0.01000008 0.00999999 0.00999995
 0.00999994 0.00999995 0.00999997 0.00999998 0.00999999 0.01
 0.01       0.01       0.01       0.01       0.01       0.01
 0.01       0.01       0.01       0.01       0.01       0.01
 0.01       0.01       0.01       0.01       0.01       0.00999999
 0.00999998 0.00999997 0.00999995 0.00999994 0.00999995 0.00999999
 0.01000008 0.01000024 0.01000047 0.0100008  0.01000125 0.01000182
 0.01000118 0.0099993  0.00999614 0.00999168 0.0099859  0.00997876
 0.00997024 0.0099603  0.00994892 0.0100594  0.0101711  0.01028405
 0.01039826 0.01051373 0.01063049 0.01074855 0.01086792 0.01098862
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
