# Steps: 4000000000
# Save frequency: 1000000
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
0,0,0,0
1000000,351,203,148
2000000,367,211,156
3000000,363,178,185
4000000,365,181,184
5000000,370,172,198
6000000,360,162,198
7000000,367,184,183
8000000,364,172,192
9000000,369,164,205
10000000,352,136,216
11000000,343,139,204
12000000,363,152,211
13000000,358,144,214
14000000,360,166,194
15000000,366,164,202
16000000,368,173,195
17000000,355,187,168
18000000,356,189,167
19000000,362,209,153
20000000,362,198,164
21000000,366,196,170
22000000,353,194,159
23000000,360,152,208
24000000,354,162,192
25000000,363,164,199
26000000,353,147,206
27000000,368,152,216
28000000,358,154,204
29000000,349,133,216
30000000,376,144,232
31000000,358,142,216
32000000,378,179,199
33000000,359,180,179
34000000,370,171,199
35000000,349,140,209
36000000,357,147,210
37000000,361,157,204
38000000,362,164,198
39000000,355,158,197
40000000,354,140,214
41000000,365,134,231
42000000,357,120,237
43000000,353,115,238
44000000,353,123,230
45000000,359,111,248
46000000,364,92,272
47000000,358,80,278
48000000,357,72,285
49000000,370,71,299
50000000,369,55,314
51000000,361,34,327
52000000,373,30,343
53000000,374,31,343
54000000,373,30,343
55000000,368,28,340
56000000,370,23,347
57000000,367,13,354
58000000,365,12,353
59000000,364,4,360
60000000,362,5,357
61000000,365,2,363
62000000,365,0,365
63000000,365,0,365
64000000,365,13,352
65000000,377,0,377
66000000,361,1,360
67000000,371,0,371
68000000,362,0,362
69000000,364,0,364
70000000,375,6,369
71000000,375,8,367
72000000,377,3,374
73000000,361,11,350
74000000,370,11,359
75000000,368,16,352
76000000,374,7,367
77000000,370,1,369
78000000,366,3,363
79000000,366,11,355
80000000,370,14,356
81000000,369,14,355
82000000,362,7,355
83000000,365,10,355
84000000,366,15,351
85000000,371,16,355
86000000,375,14,361
87000000,372,0,372
88000000,374,2,372
89000000,363,4,359
90000000,371,5,366
91000000,364,4,360
92000000,363,4,359
93000000,368,9,359
94000000,363,6,357
95000000,363,4,359
96000000,364,0,364
97000000,360,7,353
98000000,362,1,361
99000000,368,5,363
100000000,375,3,372
101000000,363,11,352
102000000,362,10,352
103000000,371,1,370
104000000,364,10,354
105000000,363,8,355
106000000,365,20,345
107000000,361,20,341
108000000,362,17,345
109000000,369,17,352
110000000,356,32,324
111000000,366,32,334
112000000,358,27,331
113000000,364,12,352
114000000,376,28,348
115000000,369,22,347
116000000,354,20,334
117000000,368,7,361
118000000,376,2,374
119000000,367,0,367
120000000,371,0,371
121000000,367,10,357
122000000,363,2,361
123000000,377,0,377
124000000,361,3,358
125000000,369,2,367
126000000,381,0,381
127000000,358,6,352
128000000,366,3,363
129000000,365,13,352
130000000,371,11,360
131000000,368,11,357
132000000,370,1,369
133000000,375,0,375
134000000,369,0,369
135000000,390,0,390
136000000,368,0,368
137000000,369,19,350
138000000,364,18,346
139000000,360,25,335
140000000,369,13,356
141000000,356,13,343
142000000,368,12,356
143000000,365,7,358
144000000,366,6,360
