# Steps: 40000
# Save frequency: 100
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
0,0,0,0
100,44,22,22
200,71,41,30
300,89,51,38
400,112,64,48
500,131,78,53
600,146,85,61
700,157,90,67
800,166,96,70
900,174,100,74
1000,180,104,76
1100,188,107,81
1200,192,111,81
1300,193,111,82
1400,204,116,88
1500,207,119,88
1600,212,122,90
1700,217,126,91
1800,222,128,94
1900,227,131,96
2000,231,134,97
2100,233,134,99
2200,239,136,103
2300,241,139,102
2400,246,140,106
2500,249,142,107
2600,253,143,110
2700,258,147,111
2800,258,146,112
2900,262,147,115
3000,266,148,118
3100,271,152,119
3200,274,152,122
3300,279,156,123
3400,283,157,126
3500,285,157,128
3600,287,159,128
3700,289,161,128
3800,290,162,128
3900,292,163,129
4000,292,162,130
4100,293,163,130
4200,296,163,133
4300,298,164,134
4400,299,164,135
4500,300,165,135
4600,301,166,135
4700,300,167,133
4800,300,167,133
4900,300,167,133
5000,300,167,133
5100,300,167,133
5200,300,167,133
5300,300,167,133
5400,300,166,134
5500,300,166,134
5600,301,166,135
5700,302,166,136
5800,303,167,136
5900,304,167,137
6000,305,168,137
6100,305,168,137
6200,306,169,137
6300,307,170,137
6400,308,169,139
6500,307,168,139
6600,308,168,140
6700,307,168,139
6800,308,168,140
6900,310,170,140
7000,309,169,140
7100,310,169,141
7200,307,169,138
7300,310,170,140
7400,311,169,142
7500,312,170,142
7600,315,174,141
7700,315,173,142
7800,314,173,141
7900,314,173,141
8000,315,174,141
8100,317,175,142
8200,319,176,143
8300,321,176,145
8400,324,178,146
8500,324,178,146
8600,323,178,145
8700,321,177,144
8800,319,177,142
8900,320,178,142
9000,319,177,142
9100,318,177,141
9200,319,179,140
9300,317,178,139
9400,318,178,140
9500,319,179,140
9600,321,179,142
9700,322,180,142
9800,323,182,141
9900,323,181,142
10000,324,182,142
10100,326,183,143
10200,328,185,143
10300,328,186,142
10400,327,185,142
10500,325,183,142
10600,326,184,142
10700,327,184,143
10800,327,184,143
10900,327,183,144
11000,329,184,145
11100,332,185,147
11200,332,185,147
11300,333,186,147
11400,335,188,147
11500,333,188,145
11600,334,188,146
11700,334,188,146
11800,333,188,145
11900,335,189,146
12000,336,189,147
12100,335,189,146
12200,334,188,146
12300,335,189,146
12400,334,189,145
12500,334,189,145
12600,335,189,146
12700,335,189,146
12800,335,189,146
12900,339,190,149
13000,339,190,149
13100,340,191,149
13200,338,189,149
13300,337,189,148
13400,338,189,149
13500,339,189,150
13600,338,188,150
13700,339,189,150
13800,341,190,151
13900,340,190,150
14000,340,190,150
14100,339,189,150
14200,338,188,150
14300,338,188,150
14400,335,186,149
14500,340,188,152
14600,342,190,152
14700,343,191,152
14800,345,192,153
14900,346,193,153
15000,343,191,152
15100,343,191,152
15200,342,191,151
15300,342,191,151
15400,343,193,150
15500,343,193,150
15600,343,193,150
15700,342,193,149
15800,342,193,149
15900,344,195,149
16000,341,191,150
16100,342,191,151
16200,343,192,151
16300,342,191,151
16400,341,190,151
16500,339,189,150
16600,342,191,151
16700,343,192,151
16800,343,192,151
16900,343,192,151
17000,343,192,151
17100,344,192,152
17200,343,191,152
17300,343,191,152
17400,342,191,151
17500,340,189,151
17600,340,189,151
17700,341,190,151
17800,342,191,151
17900,343,192,151
18000,344,192,152
18100,344,192,152
18200,343,192,151
18300,343,193,150
18400,343,194,149
18500,343,193,150
18600,342,192,150
18700,343,192,151
18800,341,192,149
18900,343,193,150
19000,343,193,150
19100,342,193,149
19200,342,193,149
19300,343,194,149
19400,342,194,148
